Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
12	LC Xue, D Dobbs, AMJJ Bonvin, V Honavar	Computational prediction of protein interfaces: A review of data driven methods	2015	FEBS letters			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12321848277443323878	174	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=100&pagesize=100&citation_for_view=GPqMVRkAAAAJ:PR6Y55bgFSsC	589	23	3516	3526	12
6	N Bui, J Yen, V Honavar	Temporal causality of social support in an online community for cancer survivors	2015	International Conference on Social Computing, Behavioral-Cultural Modeling ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8990092445856544251	225	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:k8Z6L05lTy4C	0	0	0	0	6
5	J Tao, G Slutzki, V Honavar	A conceptual framework for secrecy-preserving reasoning in knowledge bases	2015	ACM Transactions on Computational Logic (TOCL)			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1233351207198549113	236	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:xtoqd-5pKcoC	16	1	3	3	5
2	GR Santhanam, S Basu, V Honavar	CRISNER: A practically efficient reasoner for qualitative preferences	2015	arXiv preprint arXiv:1507.			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=655683481597799784	296	3/24/2017	Preprint			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:umqufdRvDiIC	8559	0	0	0	2
2	S Lee, V Honavar	Lifted representation of relational causal models revisited: Implications for reasoning and structure learning	2015	Proceedings of the UAI 2015 Conference on Advances in Causal Inference ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=869693633943700472	297	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:sNmaIFBj_lkC	0	0	0	0	2
1	HT Lin, N Bui, V Honavar	Learning classifiers from remote RDF data stores augmented with RDFS subclass hierarchies	2015	Big Data (Big Data), 2015 IEEE International Conference on			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10891711407932099358	320	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:NDuN12AVoxsC	0	0	1807	1813	1
0	LC Xue, D Dobbs, AMJJ Bonvin, V Honavar	Protein-protein interface predictions by data-driven methods: a review	2015	FEBS letters				357	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:aIdbFUkbNIkC	589	23	3516	3516	0
22	RR Walia, LC Xue, K Wilkins, Y El-Manzalawy, D Dobbs, V Honavar	RNABindRPlus: a predictor that combines machine learning and sequence homology-based methods to improve the reliability of predicted RNA-binding residues in proteins	2014	PLoS One			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9200842738125065340	120	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=100&pagesize=100&citation_for_view=GPqMVRkAAAAJ:738O_yMBCRsC	9	5	97725	-1	22
15	LC Xue, RA Jordan, ELM Yasser, D Dobbs, V Honavar	DockRank: Ranking docked conformations using partner‐specific sequence homology‐based protein interface prediction	2014	Proteins: Structure, Function, and Bioinformatics			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14636046034424245711	155	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=100&pagesize=100&citation_for_view=GPqMVRkAAAAJ:tkaPQYYpVKoC	82	2	250	267	15
9	VG Honavar	The promise and potential of big data: A case for discovery informatics	2014	Review of Policy Research			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4893382413588621860	194	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=100&pagesize=100&citation_for_view=GPqMVRkAAAAJ:ZfRJV9d4-WMC	31	4	326	330	9
7	Y El-manzalawy, V Honavar	Building classifier ensembles for B-cell epitope prediction	2014	Immunoinformatics			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16595007685345107736	210	3/24/2017	Book chapter			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:AvfA0Oy_GE0C	0	0	285	294	7
3	N Bui, V Honavar	Labeling actors in social networks using a heterogeneous graph kernel	2014	International Conference on Social Computing, Behavioral-Cultural Modeling ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3696422728838192473	276	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=200&pagesize=100&citation_for_view=GPqMVRkAAAAJ:6ZxmRoH8BuwC	0	0	0	0	3
1	K Sankar, RR Walia, CM Mann, RL Jernigan, VG Honavar, D Dobbs	An analysis of conformational changes upon RNA-protein binding	2014	Proceedings of the 5th ACM Conference on Bioinformatics, Computational ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14515590152657399444	321	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:tH6gc1N1XXoC	0	0	0	0	1
0	V Honavar	Discovery informatics in biological and biomedical sciences: research challenges and opportunities.	2014	Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing				358	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=300&pagesize=100&citation_for_view=GPqMVRkAAAAJ:uDGL6kOW6j0C	482	0	0	0	0
268	S Kumar, WJ Nilsen, A Abernethy, A Atienza, K Patrick, M Pavel, WT Riley, ...	Mobile health technology evaluation: the mHealth evidence workshop	2013	American journal of preventive medicine			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13149377780924996787	3	3/24/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&pagesize=100&citation_for_view=GPqMVRkAAAAJ:d1gkVwhDpl0C	45	2	228	236	268
9	L Qi, HT Lin, V Honavar	Clustering remote RDF data using SPARQL update queries	2013	Data Engineering Workshops (ICDEW), 2013 IEEE 29th International Conference ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6198765315929033032	195	3/24/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GPqMVRkAAAAJ&cstart=100&pagesize=100&citation_for_view=GPqMVRkAAAAJ:2KloaMYe4IUC	0	0	0	0	9
