Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC
0	"Y Zhang, CH Chu, Y Chen, H Zha, X Ji"	Splice site prediction with linear kernel and Bayesian mapping	2005	8th Joint Conference on Information Sciences				155	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:1qzjygNMrQYC	0	0	0	0	0
0	"Q Gu, CH Chu"	Genetic algorithms for multicast routing with multiple QoS requirements	2005	"8th Joint Conference on Information Sciences, Salt Lake City, UT"				156	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:abG-DnoFyZgC	0	0	0	0	0
0	"MS Huang, HH Lin, CH Chu"	Determining object class similarity based on semantic similarity degree	2005	???: ?????????????				157	3/9/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:WbkHhVStYXYC	0	0	0	0	0
19	"Y Zhang, CH Chu, X Ji, H Zha"	Correlating summarization of multi-source news with k-way graph bi-clustering	2004	ACM SIGKDD Explorations Newsletter			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18203062668521860991	46	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:4TOpqqG69KYC	6	2	34	42	19
18	"Q Gu, P Liu, CH Chu"	Tactical bandwidth exhaustion in ad hoc networks	2004	"Information Assurance Workshop, 2004. Proceedings from the Fifth Annual IEEE ..."			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15249243065682371298	48	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:qxL8FJ1GzNcC	0	0	0	0	18
7	??? ???? ???? ??	?????????????????	2004	?????????			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8170027633507255958	80	3/9/2017	Journal article			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:9vf0nzSNQJEC	10	12	1561	1566	7
7	"Y Zhang, H Zha, JZ Wang, CH Chu"	Gene co-regulation vs. co-expression	2004	8th Annual International Conference on Research in Computational Molecular ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7560136305809826410	81	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:YFjsv_pBGBYC	0	0	0	0	7
5	"Y Chen, T Mullen, C Chu"	Theoretical investigation of prediction markets with aggregate uncertainty	2004	In Proceedings of the Seventh International Conference on Electronic ...			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16253263986981527504	95	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&pagesize=100&citation_for_view=xdH7WU8AAAAJ:ns9cj8rnVeAC	0	0	0	0	5
4	"Y Zhang, H Zha, JZ Wang, CH Chu"	Clustering of time-course gene expression data	2004	The Pennsylvania State University			https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15105347038529522532	105	3/9/2017				https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:O3NaXMp0MMsC	0	0	0	0	4
0	"T Yang, CH Chu"	On efficient modeling of indoor base station positioning	2004	"National Conference in Decision Sciences Institute, Boston, MA"				158	3/9/2017	Conference paper			https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xdH7WU8AAAAJ&cstart=100&pagesize=100&citation_for_view=xdH7WU8AAAAJ:XiVPGOgt02cC	0	0	0	0	0
